,titre,contexte,texte,predictions
0,Loi n°49-958 du 18 juillet 1949 RENFORCEMENT DU CONTROLE PARLEMENTAIRE DES DEPENSES PUBLIQUES,,"Le ministre de l'économie et des finances est tenu d'adresser aux commissions des finances du Parlement et à la Cour des comptes, avant la fin du trimestre suivant, l'état par chapitre au 31 mars, au 30 juin, au 30 septembre, au 31 décembre et à la clôture de l'exercice, des dépenses ordonnancées ou mandatées sur crédits budgétaires.
   Les résultats de l'exécution du budget, par partie de ministère, et par ligne de recettes ainsi que l'état trimestriel, des comptes spéciaux du Trésor, aux dates susvisées, sont publiés au Journal officiel.","EU institutions and European civil service, budget, accounting, EU finance, public finance and budget policy"
1,"LOI n° 2016-1087 du 8 août 2016 pour la reconquête de la biodiversité, de la nature et des paysages (1)","Titre III : AGENCE FRANÇAISE POUR LA BIODIVERSITÉ
","Les agents contractuels de droit public des établissements mentionnés aux articles L. 131-8, L. 322-1, L. 331-1 et L. 421-1 du code de l'environnement qui occupent en cette qualité des fonctions qui correspondent à un besoin permanent sont régis par des dispositions réglementaires communes définies par décret.","European Union law, environmental policy, trade policy, organisation of transport, marketing"
2,"Loi n°93-1313 du 20 décembre 1993 QUINQUENNALE RELATIVE AU TRAVAIL,A L'EMPLOI ET A LA FORMATION PROFESSIONNELLE","Titre IV : Coordination, simplification et évaluation.
","Une loi ultérieure complétera et, au besoin, adaptera les dispositions de la présente loi aux nécessités spécifiques de la lutte pour l'emploi dans les départements d'outre-mer et à Saint-Pierre-et-Miquelon.
   Cette loi contiendra également, après délibération de l'assemblée territoriale concernée, des dispositions propres à répondre aux besoins de Mayotte en matière de lutte pour l'emploi.","European Union law, employment, Europe, economic geography, European construction"
3,LOI organique n° 2011-333 du 29 mars 2011  relative au Défenseur des droits (1),"TITRE IER : DISPOSITIONS GENERALES
","Le Défenseur des droits est nommé par décret en conseil des ministres, après application de la procédure prévue au dernier alinéa de l'article 13 de la Constitution. Il ne peut être mis fin à ses fonctions que sur sa demande ou en cas d'empêchement dans des conditions définies par décret en Conseil d'Etat.","EU institutions and European civil service, European Union law, executive power and public service, personnel management and staff remuneration, civil law"
4,LOI n° 2019-1479 du 28 décembre 2019 de finances pour 2020 (1),"PREMIÈRE PARTIE : CONDITIONS GÉNÉRALES DE L'ÉQUILIBRE FINANCIER
Titre IER : DISPOSITIONS RELATIVES AUX RESSOURCES
I. - IMPÔTS ET RESSOURCES AUTORISÉS
B. - Mesures fiscales
","I.-A modifié les dispositions suivantes :
-Code des douanes 
Art. 266 quinquies C





II.-Le I entre en vigueur à une date fixée par décret, qui ne peut être postérieure de plus de six mois à l'entrée en vigueur de la décision d'exécution du Conseil de l'Union européenne autorisant les dispositions prévues au même I en application de l'article 19 de la directive 2003/96/ CE du Conseil du 27 octobre 2003 restructurant le cadre communautaire de taxation des produits énergétiques et de l'électricité.","taxation, European Union law, oil industry, energy policy, electrical and nuclear industries"
5,Loi n°46-2339 du 24 octobre 1946 CONTENTIEUX DE LA SECURITE SOCIALE,"Titre IV : Procédure et voies de recours
Chapitre Ier : Procédure devant la commission de première instance.
","En dehors du cas prévu à l'article précédent, si la commission de première instance estime que l'affaire n'est pas en état d'être jugée, elle doit ordonner un complément d'instruction, et peut notamment prescrire des enquêtes et expertises.
   Elle peut charger son président de procéder aux enquêtes.
   Les témoins et experts reçoivent les mêmes indemnités qu'en cas de comparution devant le tribunal civil.","EU institutions and European civil service, European Union law, executive power and public service, civil law, criminal law"
6,LOI n° 96-542 du 19 juin 1996 relative au contrôle de la fabrication et du commerce de certaines substances susceptibles d'être utilisées pour la fabrication illicite de stupéfiants ou de substances psychotropes (1),"TITRE Ier bis : Dispositions applicables aux substances chimiques non classifiées
","Au cours de la période mentionnée au III de l'article 19-1, les agents des douanes habilités peuvent, dans les conditions prévues à l'article 323 du code des douanes, saisir les substances non classifiées et la confiscation de celles-ci peut être prononcée par le tribunal correctionnel lorsque les conditions de l'opération d'importation ou d'exportation ne paraissent obéir à d'autre motif que la fabrication illicite de stupéfiants ou de substances psychotropes.","European Union law, competition, trade, international trade, criminal law"
7,LOI n° 2008-757 du 1er août 2008 relative à la responsabilité environnementale et à diverses dispositions d'adaptation au droit communautaire dans le domaine de l'environnement (1),"TITRE II : DISPOSITIONS D'ADAPTATION AU DROIT COMMUNAUTAIRE DANS LE DOMAINE DE L'ENVIRONNEMENT
CHAPITRE V : DISPOSITIONS RELATIVES AUX DECHETS
","I. ― Dans les conditions prévues par l'article 38 de la Constitution, le Gouvernement est autorisé à prendre par voie d'ordonnance, dans un délai de douze mois à compter de la date de publication de la présente loi, les dispositions relevant du domaine de la loi nécessaires pour mettre les sections 4 et 6 du chapitre Ier du titre IV du livre V du code de l'environnement en conformité avec le règlement (CE) n° 1013 / 2006 du Parlement européen et du Conseil, du 14 juin 2006, concernant les transferts de déchets. II. ― Le projet de loi portant ratification de cette ordonnance est déposé devant le Parlement au plus tard le dernier jour du sixième mois à compter de la publication de cette ordonnance.","European Union law, environmental policy, deterioration of the environment, EU institutions and European civil service, documentation"
8,Loi n° 52-1322 du 15 décembre 1952 instituant un code du travail dans les territoires et territoires ‎associés relevant du ministère de la France d'outre-mer (1)‎,"Titre III : Du contrat de travail
Chapitre II : De l'apprentissage
Section III : Des devoirs des maîtres et des apprentis.
","[  L'ordonnance 82-1114 du 23 décembre 1982, article 83 : le présent article n'est plus applicable à compter du 29 décembre 1982, dans le territoire de Nouvelle-Calédonie et dépendances*].

   Le maître doit enseigner à l'apprenti, progressivement et complètement, l'art, le métier ou la profession spéciale qui fait l'objet du contrat.
    Il lui délivrera, à la fin de l'apprentissage, un congé d'acquit ou certificat constatant l'exécution du contrat.","employment, political geography, labour market, teaching, education"
9,LOI n° 2015-177 du 16 février 2015 relative à la modernisation et à la simplification du droit et des procédures dans les domaines de la justice et des affaires intérieures (1),"Titre VII : DISPOSITIONS RELATIVES AUX PROCÉDURES ADMINISTRATIVES
","Dans les conditions prévues à l'article 38 de la Constitution, le Gouvernement est autorisé à prendre par voie d'ordonnance les mesures relevant du domaine de la loi nécessaires pour fusionner la commission nationale d'inscription et de discipline des administrateurs judiciaires et la commission nationale d'inscription et de discipline des mandataires judiciaires, prévues, respectivement, aux articles L. 811-2 et L. 812-2 du code de commerce.","EU institutions and European civil service, executive power and public service, European Union law, personnel management and staff remuneration, marketing"
